id,code,name,postalCode,level,parentId,hasHomeDelivery,hasPickupPoint,Commune,,,,,,,,,
bcb30485-37b5-4135-a508-acad8a8a9cf8,49,Timimoun,49,wilaya,,TRUE,TRUE,Berriche,,,,,,,,,2
50d15975-0d39-4c57-969f-7e9d2ada74e3,50,Oued Sly,50000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,Bir Chouhada,,,,,,,,,1
09995504-3bb4-4929-8551-3be9ed34c8a3,51,Ouled Abbes,51000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,Dhalaa,,,,,,,,,2
0f2dab00-094c-412c-a7d0-ebd0268d3d3c,51,Ouled Djellal,51,wilaya,,TRUE,TRUE,El Amiria,,,,,,,,,2
910e38a2-6552-4a8c-b12a-bfce6ba8e607,52,Ouled Ben Abdelkader,52000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,El Belala,,,,,,,,,1
ba12c65c-de9e-4f30-a449-6ba0b27dd7d7,52,Beni Abbes,52,wilaya,,TRUE,TRUE,El Djazia,,,,,,,,,1
6ba259fb-c054-4ac5-8b21-ac50961db13c,53,Ouled Fares,53000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,El Fedjoudj Boughrara Sa,,,,,,,,,3
7c752560-8412-4e11-8c75-ed7cd9c22be2,53,In Salah,53,wilaya,,TRUE,FALSE,El Harmilia,,,,,,,,,1
397a4ba3-4713-44f8-88c5-71653b3e8e33,54,Oum Drou,54000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,Fkirina,,,,,,,,,1
f30136dc-3012-4ac7-912c-33eab37393a9,54,In Guezzam,54,wilaya,,TRUE,FALSE,Hanchir Toumghani,,,,,,,,,1
442d8a1c-2e12-4a8a-9c7e-8618aac20280,55,Touggourt,55,wilaya,,TRUE,TRUE,Ksar Sbahi,,,,,,,,,1
255d3721-0cdb-4f72-8d18-c1d7b552629f,55,Sendjas,55000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,Meskiana,,,,,,,,,1
da7620f2-efbf-44d6-99e4-53f7de29e1ca,56,Sidi Abderrahmane,56000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,Oued Nini,,,,,,,,,1
eabb6505-5eef-479f-b6a3-36ba282d5237,57,El Meghaier,57,wilaya,,TRUE,FALSE,Ouled Gacem,,,,,,,,,1
8f5cbc9a-59e2-49c4-b0e9-b812ab4fe8c4,57,Sidi Akkacha,57000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,Ouled Hamla,,,,,,,,,1
3d19d427-08f3-492c-a1d0-e7ace3516ed2,58,El Menia,58,wilaya,,TRUE,FALSE,Ouled Zouai,,,,,,,,,1
103f2081-934f-4a95-8610-511dd1385299,58,Sobha,58000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,Oum El Bouaghi,,,,,,,,,1
289df37c-c3e2-45f4-811d-6308dda00ad3,59,Tadjena,59000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,Rahia,,,,,,,,,1
9ea10c9d-30a5-43aa-ab2c-2f0365399e7d,60,Talassa,60000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,Sigus,,,,,,,,,1
845c89e0-f04a-496f-a87c-8273affa7611,61,Taougrit,61000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,Souk Naamane,,,,,,,,,2
